word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
קושנר,Micah,Micah 6:12,2,834524,5,קושנר,0.33884758,1.3883029,false,0.0
קושנר,Genesis,Genesis 13:52,16,44848,5,קושנר,0.30236667,1.3883029,false,0.0
