source,target,weight,hebert_score,alephbert_score,is_decadal_anchor,skip,start
verse:Daniel 4:16,word:אייר,0.6862203776836395,0.37244051694869995,1.000000238418579,false,80,1047920
word:אייר,verse:Jeremiah 32:15,0.6769050657749176,0.3538098931312561,1.000000238418579,false,-14,692800
word:אייר,verse:Song of Songs 1:10,0.6762944608926773,0.3525886833667755,1.000000238418579,false,-2,1000358
word:אייר,verse:Psalms 105:22,0.6756344735622406,0.3512687087059021,1.000000238418579,false,-117,918329
word:אייר,verse:Psalms 3:1,0.673022523522377,0.3460448086261749,1.000000238418579,false,-419,862482
word:אייר,verse:Proverbs 10:13,0.6697626113891602,0.3395249843597412,1.000000238418579,false,-186,948680
word:אייר,verse:I Kings 2:4,0.66938915848732,0.3387780785560608,1.000000238418579,false,39,481494
word:אייר,verse:Joshua 23:15,0.66938915848732,0.3387780785560608,1.000000238418579,false,42,342300
word:אייר,verse:Joshua 23:14,0.66938915848732,0.3387780785560608,1.000000238418579,false,-7,342093
word:אייר,verse:Proverbs 26:27,0.6683058440685272,0.33661144971847534,1.000000238418579,false,419,963281
word:אייר,verse:Jeremiah 46:16,0.6647389680147171,0.3294776976108551,1.000000238418579,false,285,715635
word:אייר,verse:I Kings 22:8,0.664639875292778,0.32927951216697693,1.000000238418579,false,208,526240
word:אייר,verse:Isaiah 41:4,0.6645658165216446,0.3291313946247101,1.000000238418579,false,4,617636
word:אייר,verse:Zechariah 2:4,0.6634296774864197,0.32685911655426025,1.000000238418579,false,-8,847184
word:אייר,verse:II Kings 7:13,0.663409411907196,0.326818585395813,1.000000238418579,false,-132,541352
word:אייר,verse:II Chronicles 12:5,0.6627686023712158,0.32553696632385254,1.000000238418579,false,17,1163684
word:אייר,verse:Psalms 71:22,0.6620633751153946,0.3241265118122101,1.000000238418579,false,-31,898460
word:אייר,verse:Psalms 37:3,0.6617626845836639,0.3235251307487488,1.000000238418579,false,988,879320
word:אייר,verse:Job 5:2,0.660923033952713,0.3218458294868469,1.000000238418579,false,2,971358
word:אייר,verse:I Chronicles 16:14,0.6607447564601898,0.32148927450180054,1.000000238418579,false,-9,1128002
word:אייר,verse:Job 36:31,0.6605992019176483,0.32119816541671753,1.000000238418579,false,-587,994659
word:אייר,verse:Genesis 53:62,0.6602911353111267,0.3205820322036743,1.000000238418579,false,16,52032
word:אייר,verse:Psalms 112:8,0.6602532714605331,0.3205063045024872,1.000000238418579,false,1,923680
word:אייר,verse:Psalms 37:31,0.6602140218019485,0.320427805185318,1.000000238418579,false,40,880160
word:אייר,verse:I Chronicles 8:3,0.6596357226371765,0.3192712068557739,1.000000238418579,false,453,1115739
word:אייר,verse:Psalms 37:9,0.6584403216838837,0.31688040494918823,1.000000238418579,false,-12,879512
word:אייר,verse:Psalms 33:12,0.6576399803161621,0.3152797222137451,1.000000238418579,false,812,876960
word:אייר,verse:Job 4:17,0.6573939025402069,0.3147875666618347,1.000000238418579,false,-73,971180
word:אייר,verse:Psalms 112:7,0.6569168865680695,0.3138335347175598,1.000000238418579,false,1,923652
word:אייר,verse:Psalms 95:5,0.6567398309707642,0.3134794235229492,1.000000238418579,false,-814,912954
word:אייר,verse:Psalms 78:37,0.6567049324512482,0.31340962648391724,1.000000238418579,false,-49,903276
word:אייר,verse:Job 41:9,0.6565203070640564,0.3130403757095337,1.000000238418579,false,-5,998514
